"cst","csts","des","al","kt","nik"
"01A81 ",Q0012 ,OKB (JAYA ABADI)              ,JL. JENDRAL SUDIRMAN RT.031                                 ,BALIKPAPAN     ,""
"01A81 ",M1809 ,OMEGA MART                    ,RUKO GADING FAJAR 2 B 06/12                                 ,SIDOARJO       ,""
"01A81 ",S0115 ,ON                            ,                                                            ,DONGGALA       ,""
"01A81 ",O0024 ,OSK                           ,                                                            ,PANGKALANBUN   ,""
"01A81 ",F0001 ,PA                            ,JL. DIPONEGORO 17 A                                         ,SUMBAWA        ,""
"01A81 ",V0134 ,PAK RONI                      ,                                                            ,NEGARA         ,""
"01A81 ",S0046 ,PALU JAYA                     ,                                                            ,PALU           ,""
"01A81 ",X0244 ,PANCA SAKTI                   ,JL. ALOR 38                                                 ,TIMUR KUPANG   ,""
"01A81 ",M0292 ,PARLAN                        ,PASAR PEGIRIAN BLOK B-5                                     ,PASAR PEGIRIAN ,""
"01A81 ",M0015 ,PB                            ,                                                            ,PAMEKASAN      ,""
"01A81 ",V0041 ,PELITA JAYA                   ,                                                            ,SINGARAJA      ,""
"01A81 ",F0010 ,PERABOT AGUNG                 ,                                                            ,SUMBAWA        ,""
"01A81 ",U0101 ,PERMATA                       ,                                                            ,MAKASAR        ,""
"01A81 ",R0189 ,PETER                         ,JL. SUSUGE 109                                              ,MENADO         ,""
"01A81 ",Q0037 ,PI                            ,JL. RAYA S/DA KM1/2 RT18 C/15                               ,BALIKPAPAN     ,""
"01A81 ",M0068 ,PIALA                         ,JL. NIAGA 90                                                ,PASURUAN       ,""
"01A81 ",Y0127 ,PINK                          ,                                                            ,TERNATE        ,""
"01A81 ",R0219 ,PIONER                        ,                                                            ,MENADO         ,""
"01A81 ",Q0274 ,PLASTIK INDAH                 ,                                                            ,BALIKPAPAN     ,""
"01A81 ",M0319 ,PODO MORO                     ,JL. STASIUN/PREJENGAN 53                                    ,ROGOJAMPI      ,""
"01A81 ",S0127 ,PPD                           ,                                                            ,TOLI-TOLI      ,""
"01A81 ",M1027 ,PRABOT AGUNG                  ,JL. PLOSO TIMUR 4/61                                        ,SURABAYA       ,""
"01A81 ",M1024 ,PRASETYO                      ,JL. KEDUNG ANYAR 6/16 B                                     ,SURABAYA       ,""
"01A81 ",V0083 ,PRIMA                         ,                                                            ,DENPASAR       ,""
"01A81 ",V0084 ,PRIMA                         ,JL. IMAM BONJOL 211                                         ,DENPASAR       ,""
"01A81 ",Y0131 ,PRT                           ,                                                            ,AMBON          ,""
"01A81 ",X0221 ,PS/AR                         ,JL. ALOR 38                                                 ,KUPANG         ,""
"01A81 ",M1121 ,PT. USFI                      ,JL. KEDUNG COWEK 345                                        ,SURABAYA       ,""
"01A81 ",K0152 ,PT.REMUJUNG WIRATAMA          ,JL. REMUJUNG 3                                              ,JOGYA          ,""
"01A81 ",M0601 ,PT.WIBOWO PAWON JAYA          ,JL. TEMBAAN TENGAH A19                                      ,SURABAYA       ,""
"01A81 ",M0128 ,PUTRA JAYA                    ,PASAR TURI BARU LT.I G                                      ,PASAR TURI     ,""
"01A81 ",M1743 ,PUTRI JAYA                    ,                                                            ,SAMPANG        ,""
"01A81 ",Z0052 ,RADO                          ,                                                            ,MANUKWARI      ,""
"01A81 ",T0051 ,RAHMAD MERAH                  ,                                                            ,BAU-BAU        ,""
"01A81 ",M1791 ,RAHMAT                        ,                                                            ,SURABAYA       ,""
"01A81 ",T0038 ,RAHMAT MERAH                  ,                                                            ,BAU-BAU        ,""
"01A81 ",X0231 ,RAJAWALI                      ,                                                            ,MAUMERE        ,""
"01A81 ",K0048 ,RAME                          ,JL. SERSAN SOEMIRAT 33                                      ,JEPARA         ,""
"01A81 ",M0048 ,RAME                          ,JL. JUANDA 42                                               ,JAJAG          ,""
"01A81 ",M1803 ,RASULLI                       ,                                                            ,SURABAYA       ,""
"01A81 ",V0078 ,RD                            ,JL. ARJUNA I/II KLUNGKUNG                                   ,DENPASAR       ,""
"01A81 ",M0049 ,REJEKI                        ,JL. JUANDA 44                                               ,JAJAG          ,""
